rpas_id,country,manufacturer,mfc_model,mtow,length,width,height,max_speed,distance_range,flight_time,max_payload_weight,max_alt,comm_range,power_source,power,gps_accuracy,engine,configuration,flight_cont,materials,min_op_temp,max_op_temp,oas,price,reg,def_payload,purpose,source
1,Australia,Aerosonde Ltd,Aerosonde Ltd AAI Aerosonde Mk 4.3,13100,1700,2900,600,31,150000,1188,3000,4900,200000,fuel,1280 W,1000,Otto cycle piston,0,GPS IFF 3axis magnetometer,carbon fiber,-38,,Yes,200000,tight restrictions,micro-SAR laser altimeter camera infrared thermometer air pressure temperature humidity sensors,meteorological,
2,China,DJI,DJI Mavic Mini,249,159,202,55,15,4000,30,0,3000,2000,battery,2400,50,BLDC,4, GPS GLONASS          , Plastic Carbon Fiber ,0,40, No                         ,399, No Drone License    , None                             ,Consumer,
3,China,DJI,DJI Mavic Air,430,168,184,64,18,10000,21,0,5000,4000,battery,2375,50,BLDC,4, GPS GLONASS          , Plastic Aluminum     ,0,40, Yes                        ,799, Drone License       , None                             ,Consumer,
4,China,DJI,DJI Mavic2Pro,907,214,91,84,23,18000,31,0,6000,8000,battery,3850,50,BLDC,4, GPS GLONASS          , Aluminum Alloy        ,0,40, Yes                        ,1349, Drone License       , None                             ,Consumer,
5,China,DJI,DJI Mavic2Zoom,905,214,91,84,23,18000,31,0,6000,8000,battery,3850,50,BLDC,4, GPS GLONASS          , Aluminum Alloy        ,0,40, Yes                        ,1349, Drone License       , None                             ,Consumer,
6,China,DJI,DJI Phantom4ProV2.0,1375,350,350,190,53,7000,30,0,6000,8000,battery,5870,30,BLDC,4, GPS GLONASS          , Magnesium Alloy       ,0,40, Yes                        ,1599, Drone License       , None                             ,Consumer,
7,China,DJI,DJI Phantom4RTK,1391,350,350,190,53,7000,30,0,6000,8000,battery,5870,30,BLDC,4, GPS GLONASS          , Magnesium Alloy       ,0,40, Yes                        ,6500, Drone License       , None                             ,Mapping,
8,China,DJI,DJI Spark,300,143,143,55,15,2000,16,0,4000,2000,battery,1480,50,BLDC,4, GPS GLONASS          , Plastic Aluminum     ,0,40, Yes                        ,499, No Drone License    , None                             ,Consumer,
9,China,DJI,DJI Inspire2,3290,605,437,340,94,7000,27,0,5000,7000,battery,4280,30,BLDC,4, GPS GLONASS          , Magnesium Alloy Carbon Fiber ,-10,40, Yes                        ,3299, Drone License       , None                             ,Professional,
10,China,DJI,DJI Matrice300RTK,6200,810,670,430,23,15000,55,2700,5000,15000,battery,5935, -             ,BLDC,6, OcuSync Enterprise    , Magnesium Alloy Aluminum Alloy ,-20,50, Yes                        ,13995, Drone License       , None                             ,Industrial,
11,China,DJI,DJI Matrice200SeriesV2,4495,887,880,378,23,8000,38,2340,2500,8000,battery,7660, -             ,BLDC,4, OcuSync 2.0 Enterprise , Magnesium Alloy Aluminum Alloy ,-20,50, Yes                        ,6499, Drone License       , None                             ,Industrial,
12,China,DJI,DJI Matrice100,2350,650,650,240,22,5000,40,1000,2000,5000,battery,5700, -             ,BLDC,4, NAZA-M V2             , Carbon Fiber Aluminum ,-10,40, No                         ,3299, No Drone License    , None                             ,Developer,
13,China,DJI,DJI FPV,795,255,312,127,39,10000,20,0,6000,10000,battery,2000,1,BLDC,4, OcuSync 3.0           , Carbon Fiber Aluminum ,0,40, Yes                        ,1299, Drone License       , None                             ,FPV,
14,China,DJI,DJI AgrasT20,20500,1895,1510,469,8,1000,20,16000,300,1000,battery,160000, -             ,BLDC,8, A3 Pro               , Carbon Fiber Aluminum ,-5,40, No                         ,19000, No Drone License    , DJI MG-1P Agricultural payload ,Agriculture,
15,China,DJI,DJI AgrasT16,16000,1600,1237,522,10,2000,15,10000,300,2000,battery,160000, -             ,BLDC,8, A3 Pro               , Carbon Fiber Aluminum ,-5,40, No                         ,15000, No Drone License    , DJI MG-1P Agricultural payload ,Agriculture,
16,China,DJI,DJI Mavic2Enterprise,899,214,91,84,20,8000,31,0,6000,8000,battery,3850,50,BLDC,4, GPS GLONASS          , Aluminum Alloy        ,0,40, Yes                        ,1999, Drone License       , None                             ,Enterprise,
17,China,DJI,DJI Mavic2EnterpriseDual,899,214,91,84,20,8000,31,0,6000,8000,battery,3850,50,BLDC,4, GPS GLONASS          , Aluminum Alloy        ,0,40, Yes                        ,2699, Drone License       , FLIR Boson thermal camera       ,Enterprise,
18,China,DJI,DJI Matrice200V2,4515,887,880,378,23,8000,38,2340,2500,8000,battery,7660, -             ,BLDC,4, OcuSync 2.0 Enterprise , Magnesium Alloy Aluminum Alloy ,-20,50, Yes                        ,6499, Drone License       , None                             ,Industrial,
19,China,DJI,DJI Matrice210V2,4535,887,880,378,23,8000,38,2340,2500,8000,battery,7660, -             ,BLDC,4, OcuSync 2.0 Enterprise , Magnesium Alloy Aluminum Alloy ,-20,50, Yes                        ,9999, Drone License       , None                             ,Industrial,
20,China,DJI,DJI Matrice210RTKV2,4555,887,880,378,23,8000,38,2340,2500,8000,battery,7660, -             ,BLDC,4, OcuSync 2.0 Enterprise , Magnesium Alloy Aluminum Alloy ,-20,50, Yes                        ,12499, Drone License       , None                             ,Industrial,
21,China,DJI,DJI FlyCart 30,95000,2800,3085,947,20,16000,18,30000,6000,20000,battery,38000,10,BLDC,8,,Carbon fiber composite,-20,45,Yes,16590,SFOC,Cargo,cargo,https://www.dji.com/ca/flycart-30
22,China,DJI,DJI S900,8200,886,864,400,28,35000,18,4700,2500,35000,battery,15000,,BLDC,6,DJI A2 Flight Controller,carbon fiber,-10,40,No,4000,Drone License,Camera,Industrial,
23,Netherlands,Acecore,Acecore Zoe X4,10500,693,682,524,9,5000,47,5000,,16000,battery,10000,5,BLDC,4,Cube Auterion Skynode,CFRP foamed,-15,50,Yes,19000,Drone License,Camera LiDAR,Mapping,https://acecoretechnologies.com/models/
24,Netherlands,Acecore,Acecore Noa 6,36900,1680,1680,840,9,16000,60,20000,,16000,battery,23000,5,BLDC,6,Cube,CFRP foamed core 3K Twill weave,-15,50,Yes,29000,SFOC,Camera LiDAR,Mapping,https://acecoretechnologies.com/models/
25,Netherlands,Acecore,Acecore Noa 6 25,24900,1680,1680,840,9,16000,60,8100,,16000,battery,23000,5,BLDC,6,Cube,CFRP foamed core 3K Twill weave,-15,50,Yes,29000,Drone License,Camera LiDAR,Mapping,https://acecoretechnologies.com/models/
26,Netherlands,Acecore,Acecore Noa H6 Hybrid,24950,1680,1680,840,9,16000,175,6000,,16000,Hybrid gas-electric,4000 W,5,BLDC,6,Cube,CFRP foamed core 3K Twill weave,-15,50,Yes,100000,Drone License,Camera LiDAR,Mapping,https://acecoretechnologies.com/models/
27,Netherlands,Acecore,Acecore Zetona 8,11950,700,675,349,9,16000,26,2200,,16000,battery,17000,5,BLDC,4,Cube,CFRP foamed core 3K Twill weave,-15,50,Yes,21000,Drone License,Camera LiDAR,Mapping,https://acecoretechnologies.com/models/
28,Netherlands,Acecore,Acecore Neo X8,1900,910,910,635,9,16000,25,9000,,16000,battery,23000,5,BLDC,8,Cube,CFRP foamed core 3K Twill weave,-15,50,Yes,22000,Drone License,Camera LiDAR,Mapping,https://acecoretechnologies.com/models/
29,Japan,ACSL,ACSL SOTEN,2000,637,560,153,15,12000,25,10,,4000,battery,13000,150,BLDC,4,,carbon fiber,0,40,Yes,9300,Drone License,Camera Multispectral Infrared,Mapping,https://product.acsl.co.jp/en/product/
30,Japan,ACSL,ACSL PF2-AE Delivery/Disaster-Relief/Patrol/Inspection,8900,1173,526,654,20,12000,18,1500,,10000,battery,12000,,BLDC,4,ESC,carbon fiber,0,40,Yes,,Japan Limited,Camera FLIR box,Delivery Monitoring Inspection,https://product.acsl.co.jp/en/product/
31,Japan,ACSL,ACSL AirTruck,25000,1700,1500,440,10,20000,50,5000,,10000,battery,22000,20,BLDC,6,ACSL AP3,carbon fiber,0,40,Yes,,Japan Limited,box,logistics,https://product.acsl.co.jp/en/product/
32,Japan,ACSL,ACSL Fi4,2400,610,290,220,3,700,4,0,,500,battery,5200,,BLDC,4,ACSL AP4,carbon fiber epp,0,40,Yes,,Japan Limited,camera,inspection,https://product.acsl.co.jp/en/product/
33,China,AEE Aviation Technology,AEE Aviation Technology MACH4-5G,4800,,,,13,5000,30,400,1000,100000,battery,,,BLDC,4,,,,,,6000,Drone License,camera,security safety,https://www.aee.com/index.php?case=archive&act=list&catid=325
34,China,AEE Aviation Technology,AEE Aviation Technology F6000,100000,,,,10,5000,30,30000,,10000,battery,,,BLDC,6,,,,,,,SFOC,fire extinguishing tanks,firefighting,https://www.aee.com/index.php?case=archive&act=list&catid=326
35,China,AEE Aviation Technology,AEE Aviation Technology G10,18000,1900,3300,550,20,135000,120,5000,5000,50000,battery,27500,50,electric,0,autonomous,carbon fiber,-15,50,,,Drone License,photoelectric pod camera,fire flood emergency,https://www.aee.com/index.php?case=archive&act=list&catid=327
36,Netherlands,Aerialtronics,Aerialtronics Altura Zenith ATX8,9650,600,600,500,20,18000,40,3000,,1000,battery,20000,,BLDC,8,autonomous,carbon fiber,,,,30000,Drone License,Camera Multispectral VOC lidar,mapping environmental monitoring,https://www.aerialtronics.com/en/products/altura-zenith#specifications
37,Japan,AGL Aero G Lab,AGL Aero G Lab Aero RangeQuad,14300,1280,,,,,90,5000,,50000,fuel,1800 W,,air-cooled 2 cycles,4,pixhawk,CRFP,,,Yes,,Drone License,camera FLIR box multispectral LiDAR,mapping,https://aerog-lab.com/en/products/
38,New Zealand,Aeronavics,Aeronavics Skyjib,24000,,,,25,,45,7000,,,,,,,4,,carbon fiber,,,,,Drone License,,inspection,https://aeronavics.com/aeronavics-skyjib/
39,Japan,AeroSense,AeroSense Aerobo PPK (AS-MC03-PPK),2870,517,517,509,10,,26,1100,,100000,battery,16000,5,BLDC,4,proprietary FC app processor,,-5,40,,,Drone License,camera,photogrammetry,https://aerosense.co.jp/en/products/drone/as-mc03-ppk.html
40,Japan,AeroSense,AeroSense Aerobo Wing (AS-VT01),10200,2130,1200,450,28,50000,40,1000,,10000,battery,,,,0,autonomous,,,,,,Drone License,camera laser multispectral logistics,survey,https://aerosense.co.jp/en/products/drone/as-vt01.html
41,Germany,AIDrones,AIDrones AiD-MC8,8000,900,1100,300,11,,,5000,4000,3000,battery,,,,8,,carbon fiber,-10,35,yes,,Drone License,camera infrared,mapping industrial,https://www.aidrones.de/english/drone-systems/octocopter-mc8/
42,Germany,AIDrones,AIDrones AiD-H85,,,,,,,240,50000,,,,,,,2,,,,,,,SFOC,camera SAR spraying,mapping geophysical exploration,
43,Spain,AIRK,AIRK FireCluds FC4 Newbie,,,,,,,,,,,,,,,4,,,,,,,,,,
44,Spain,Aracnocoptero,Aracnocoptero TF6,6000,,,,21,,40,3000,,80000,battery,,,BLDC,4,autonomous,,,,,33000,Drone License,logistics,cargo,https://www.researchgate.net/profile/Pablo-Chamoso/publication/280044885_Aracnocoptero_An_Unmanned_Aerial_VTOL_Multi-rotor_for_Remote_Monitoring_and_Surveillance/links/55a53f2508ae00cf99c954fa/Aracnocoptero-An-Unmanned-Aerial-VTOL-Multi-rotor-for-Remote-Monitoring-and-Surveillance.pdf
45,Latvia,Atlas Aerospace,Atlas Aerospace AtlasPRO,1900,445,557.5,185.5,15,16000,32,315,3000,16000,battery,6500,50,BLDC,3,autonomous,,-20,55,Yes,4100,Drone License,camera infrared,mapping,https://www.atlasuas.com/products/atlaspro
46,Latvia,Atlas Aerospace,Atlas Aerospace AvalanchePRO,1900,445,557.5,185.5,15,16000,32,315,3000,16000,battery,6500,50,BLDC,3,autonomous,,-20,55,Yes,5000,Drone License,camera infrared,rescue mission,
47,China,Autel Robotics,Autel Robotics EVO Max,1999,576,660,149,23,,42,0,4000,20000,battery,8070,10,BLDC,4,autonomous,,-20,50,Yes,13000,Drone License,camera thermal with laser,mapping,https://shop.autelrobotics.com/
48,China,Autel Robotics,Autel Robotics EVO II Dual 640T RTK Rugged Bundle,1999,457,558,143,20,21,36,0,7000,15000,battery,7100,10,BLDC,4,autonomous,,-10,40,yes,5799,Drone License,thermal camera radiometric temperature,thermal imaging,https://shop.autelrobotics.com/
49,China,Autel Robotics,Autel Robotics EVO Lite,835,427,384,95,18,24000,40,0,4000,12000,battery,6175,50,BLDC,4,,,0,40,yes,809,Drone License,camera,recreational,https://shop.autelrobotics.com/
50,China,Autel Robotics,Autel Robotics Dragonfish Lite,5500,965,1600,350,30,,81,1000,4000,100000,battery,174 Wh,1,,5,,,-20,50,yes,60199,Drone License,camere,monitoring,https://www.autelrobotics.com/productdetail/dragonfish-series-drones/
51,China,Autel Robotics,Autel Robotics Dragonfish Standard,9000,1290,2300,460,30,,126,1500,6000,100000,battery,277.2 WH,1,,5,,,-20,50,yes,100000,Drone License,camera,monitoring,https://www.autelrobotics.com/productdetail/dragonfish-series-drones/
52,China,Autel Robotics,Autel Robotics Dragonfish Pro,17000,1650,3040,460,30,,158,2500,6000,100000,battery,17800,1,,5,,,-20,50,yes,179899,Drone License,camera,monitoring,https://www.autelrobotics.com/productdetail/dragonfish-series-drones/
53,China,Autel Robotics,Autel Robotics Autel Titan,,,,,23,,60,10000,7000,20000,battery,,,,4,,,,,,,Drone License,box,logistics,https://www.autelpilot.com/blogs/news/first-autel-titan-delivery-drone-launches
54,Netherlands,Avular,Avular Vertex One,3800,454,250,340,,,25,650,,1000,battery,8400,50,BLDC,4,Avular Prime (ARM Cortex – M7),carbon fiber,,,Yes,609,Drone License,,,https://avular.com/drones/drones-specs
55,China,Zhuoyi Droneeye,Zhuoyi Droneeye TS-A12,25000,,,,11,300,1440,0,300,300,AC,380 V,100,,6,,carbon fiber,-40,55,no,,Drone License,fire extinguishing device thrrowing device floodlight,firefighting,http://en.droneyee.com/droneDetail/184
56,United States,brinc drones,brinc drones Lemur 2,1500,332,405,99,21,,20,453,,5000,battery,9000,,BLDC,4,Lemur 2 control,carbon fiber reinforced nylon,-20,45,yes,7500,Drone License,thermal camera camera droper glass breaker,monitoring,https://brincdrones.com/lemur-2/
57,United States,Cleo,Cleo Dronut X1 Pro,420,177,177,100,,,17,,,1500,battery,,,bi-copter,2,AES 256,,,,,28000,Drone License,camera LiDAR,mapping,https://cleorobotics.com/product/
58,United Kingdom,Clogworks,Clogworks Dark Matter hX Gen 2,18000,1565,1432,650,20,,32,6000,,10000,battery,5854,,BLDC,6,Cube Pilot ArduPilot,carbon fiber,-20,45,yes,,Drone License,camera. LiDAR,mapping industry,https://www.clogworks.com/how-does-the-dark-matter-hx-gen2-compare-as-a-m600-alternative
59,South Korea,Doosan Mobility,Doosan Mobility DS30W,24900,1850,1850,815,,50000,,3000,,,fuel,2700 W,,Hydrogen Fuel Cell Powerpack,4,pixhawk,,-5,40,yes,3800,Drone License,camera infrared camera LiDAR Multispectral,mapping,https://www.doosanmobility.com/en/products/drone-ds30
60,South Korea,Doosan Mobility,Doosan Mobility Dj25,31000,2093,4352,722,22,450000,330,4000,3500,,fuel,,,Hydrogen Fuel Cell Powerpack,5,,,,,,,SFOC,camera,mapping,https://www.doosanmobility.com/en/products/drone-dj25
61,Canada,Dragandfly Innovations Inc,Dragandfly Innovations Inc Commander 3 XL,25000,1620,1600,300,20,,20,10000,2438,2000,battery,16000,,BLDC,4,,carbon fiber,-25,38,,,Drone License,camera,Industrial,https://draganfly.com/commander-3-xl/
62,Canada,Dragandfly Innovations Inc,Dragandfly Innovations Inc Commander2,3750,873,873,295.6,18,,30,1000,2438,,battery,,,BLDC,4,,carbon fiber,,,,,Drone License,RGB Multispectral Thermal IR and Hyperspectra,Industrial,https://draganfly.com/draganflyer-commander2/
63,Canada,Dragandfly Innovations Inc,Dragandfly Innovations Inc Heavy Lift Drone,44000,3168,3168,770,22,30000,18,30000,,20000,battery,100000,,BLDC,8,,carbon fiber,,,,,SFOC,heavy sensors logistics,Industrial,https://draganfly.com/products/heavy-lift/
64,Canada,Dragandfly Innovations Inc,Dragandfly Innovations Inc Starling X.2,25000,1626,1600,305,15,27000,18,10000,,2000,battery,16000,,BLDC,4,,carbon fiber,-25,38,,,Drone License,screen,promotion warning,https://draganfly.com/starling-x2/
65,Canada,Dragandfly Innovations Inc,Dragandfly Innovations Inc Commander 3 XL Hybrid,25000,1626,1600,300,20,,180,4000,2438,vary,hybrid,3500 W,,70cc 2stroke Ignite,4,,,-25,38,,,Drone License,box,delivery industrial,https://draganfly.com/commander-3xl-hybrid/
66,Canada,Dragandfly Innovations Inc,Dragandfly Innovations Inc Quantix Mapper Hybrid VTOL,,,975,,20,,45,,2286,50000,battery,,,,5,,,,,,,Drone License,camera multispectral,mapping,https://draganfly.com/wp-content/uploads/2022/10/Draganfly-Quantix-Specifications.pdf
67,Canada,Dragandfly Innovations Inc,Dragandfly Innovations Inc Commander,3750,873,873,294.6,14,,25,1000,,2000,battery,,,BLDC,4,pix4d,carbon fiber,-24,38,,,Drone License,camera FLIR multispectral,mapping,https://draganfly.com/wp-content/uploads/2020/04/Draganflyer-Commander-v1.2.pdf
68,India,Drona Aviation,Drona Aviation Pluto X,,,,,,,7,15,,60,battery,,,BLDC,4,,,,,,,,camera,recreational,https://www.dronaaviation.com/plutox/
69,United States,Drone America,Drone America NavX,11300,800,800,,15,,25,,3657,,,,,,8,,carbon fiber plastics,,,,,Drone License,camera,aerial imaging,https://www.droneamerica.com/navx/
70,United States,Drone America,Drone America HuginnAir,38500,,4720,,53,,510,6800,5486,,Gas Electric Hybrid,,,,5,autonomous,,,,yes,,SFOC,camera,commercial,https://www.droneamerica.com/navx/
71,United States,Drone America,Drone America Ariel,454000,4800,6800,,44,1046000,600,158757,5486,,multifuel,,,,0,,,,,yes,,SFOC,camera,commercial,https://www.droneamerica.com/navx/
72,United States,Drone America,Drone America Phoebus,226700,3810,7920,,44,563000,420,226796,5486,,multifuel,,,,0,,,,,yes,,SFOC,camera,commercial,https://www.droneamerica.com/navx/
73,United States,Drone America,Drone America Savant,18140,1700,3580,,38,104607,90,3100,3657,,electric,,,,5,,,,,yes,,Drone License,camera,commercial,https://www.droneamerica.com/savant/
74,France,Drone Volt,Drone Volt Hercules 10,,900,900,560,25,52500,20,7500,,2000,battery,,,BLDC,8,DV Control,carbon fiber anodized aluminum,-20,45,yes,,Drone License,camera winch,commercial,https://www.dronevolt.com/en/expert-solutions/hercules-10/#
75,France,Drone Volt,Drone Volt Hercules 20,,1000,1000,600,25,,20,15000,,2000,battery,,,BLDC,8,DV Control,carbon fiber anodized aluminum,-20,45,Yes,,SFOC,logistics camera,delivery spraying,https://www.dronevolt.com/en/expert-solutions/hercules-20/#1596173203065-faef6b38-6034
76,France,Drone Volt,Drone Volt Heliplane LRS240,8000,1150,2400,300,33,,80,1000,4000,,battery,27000,,,5,,carbon composite fiber glass,,,yes,,Drone License,camera delivery compartments multispectral,mapping delivery,https://www.dronevolt.com/wp-content/uploads/2023/04/Heliplane_lrs_pro_240_340_Beluga_EN_Web_Specs_2023.pdf
77,France,Drone Volt,Drone Volt Heliplane LRS 340,18000,1500,3380,500,33,,150,3000,4000,,battery,30000,,,5,,carbon composite fiber glass,,,yes,,Drone License,camera delivery compartments multispectral,mapping delivery,https://www.dronevolt.com/wp-content/uploads/2023/04/Heliplane_lrs_pro_240_340_Beluga_EN_Web_Specs_2023.pdf
