rpas_id,country,manufacturer,mfc_model,mtow,length,width,height,max_speed,distance_range,flight_time,max_payload_weight,max_alt,comm_range,power_source,power,gps_accuracy,engine,configuration,flight_cont,materials,min_op_temp,max_op_temp,oas,price,reg,def_payload,purpose,source
78,France,Drone Volt,Drone Volt Heliplane LRS Pro Beluga,33000,1950,4150,750,33,,200,10000,5000,80000,battery,30000,,,5,,carbon composite fiber glass,,,yes,,SFOC,camera delivery compartments multispectral,mapping delivery,https://www.dronevolt.com/wp-content/uploads/2023/04/Heliplane_lrs_pro_240_340_Beluga_EN_Web_Specs_2023.pdf
79,France,Drone Volt,Drone Volt Kobra,15300,820,810,456,20,,30,5000,,12000,battery,22000,,BLDC,4,Nvidia Xavier,,-15,40,Yes,,Drone License,camera infrared LiDAR gas detector,surveillance,https://www.dronevolt.com/en/dronevolt-kobra/
80,Japan,EAMS,EAMS E484MP,10000,845,672,465,22,4000,20,3000,,1000,battery,16000,,BLDC,4,Cube Black,aluminum carbon fiber,,,Yes,,Drone License,camera ,logistics inspection security,https://www.eams-robo.co.jp/products/e484mp/
81,Japan,EAMS,EAMS E6106FLMP2,,1139,1060,550,22,,40,5000,,1000,battery,32000,,BLDC,6,Pixhawk,aluminum carbon fiber,,,Yes,,Drone License,camera logistics box,delivery,https://www.eams-robo.co.jp/products/e6106flmp/
82,Japan,EAMS,EAMS E6150TC,24500,754,2012,2213,12,,,6000,,,battery,,,BLDC,6,Cube,aluminum carbon fiber,0,40,Yes,,Drone License,box,delivery,https://www.eams-robo.co.jp/products/e6150tc/
83,India,Edall Systems,Edall Systems Whitehawk,2500,660,660,660,,,40,,3000,2000,,,,,4,,,-10,50,,,Drone License,camera,mapping,https://edallsystems.com/whitehawk/
84,India,Edall Systems,Edall Systems SPIDEX 600 MKI,2000,630,455,194,10,,35,150,457,2000,battery,129 Wh,,,4,,,-10,50,,,Drone License,camera,mapping,https://edallsystems.com/spidex600mki/
85,India,Edall Systems,Edall Systems NAKSHYA VTOL ,3500,,1600,,18,,90,300,3500,5000,battery,,,,5,,,0,50,,,Drone License,camera,mapping,https://edallsystems.com/nakshya-vtol/
86,Germany,exabotix,exabotix EB-Zelos Mapper,,530,530,150,11,,60,1000,5000,4000,battery,16000,1,BLDC,4,,,-10,30,yes,,Drone License,camera lidar,mapping,https://www.exabotix.com/en/loesungen/vermessung/zelos-mapper-technical-data/
87,Germany,exabotix,exabotix EB-Mercury Mapper,,900,900,550,14,,25,3500,5000,4000,battery,22000,1,BLDC,6,,,-10,30,yes,,Drone License,camera lidar,mapping,https://www.exabotix.com/en/loesungen/vermessung/mercury-mapper-technical-data/
88,Germany,exabotix,exabotix EB-Atlas Mapper,,1600,1600,630,12.5,,25,13000,5000,4000,battery,22000,1,BLDC,6,,,-10,30,yes,,Drone License,camera lidar,mapping,https://www.exabotix.com/en/loesungen/vermessung/atlas-mapper-technical-data/
89,Switzerland,Flyability,Flyability Elios 3,2500,480,480,380,7,,9,0,,,battery,4350,SLAM,BLDC,4,Nvidia Xavier,Carbon fiber - kevlar composites magnesium alloy aeronautical grade aluminum high-quality thermoplastics,0,50,Yes,,SFOC,lidar camera,indoor underground survey,https://nexxis.com.au/wp-content/uploads/2020/11/20220519_E3_Tech_Spec_web_version.pdf
90,Poland,Flyfocus,Flyfocus Polaris,4500,,2200,,30.5,,,0,4000,,,,,,0,,Carbon-glass composite,-20,50,,,Drone License,camera lidar,surveillance,https://flyfocus.pl/product/polaris/
91,Poland,Flyfocus,Flyfocus Lemur VTOL UAV,30000,2166,4700,916,27,,480,0,4000,500000,IC motor,,,Electric or internal combustion with direct injection and starter,5,,Carbon fibre fiberglass,-20,50,,,SFOC,camera,surveillance,https://flyfocus.pl/product/lemur/
92,United States,Freefly,Freefly Alta X,348600,2273,2273,484,10,,22,15900,5000,3200,battery,50400,,BLDC,4,PX4,carbon fiber nylon,-20,45,,19000,SFOC,camera,cinematic mapping,https://freefly.gitbook.io/freefly-public/products/rtk-gps/rtk-specifications#rtk-performance-over-range
93,United States,Freefly,Freefly Astro,6665,1407,1407,359,,,25,1500,,2000,battery,21600,,BLDC,4,PX4,,,,,,,,,
94,Australia,Freespace OperationsTM,Freespace Operation Callisto 50 Multirotor,52000,1400,1400,,25,40000,40,25000,,40000,battery,,,BLDC,8,,,,,,,SFOC,camera,,https://www.freespaceoperations.com.au/callisto-series
95,Australia,Freespace OperationsTM,Freespace Operation Sapphire VTOL,50000,2400,5000,500,36,,720,8000,6000,400000,battery,,,,0,,,,,,,SFOC,camera,,https://www.freespaceoperations.com.au/copy-of-cobalt-vtol
96,India,Garuda Aerospace,Garuda Aerospace Droni,249,167,218,62,10,,30,0,4500,,battery,2250,150,BLDC,4,,,-10,45,,,,camera,,https://www.garudaaerospace.com/droni-named-after-m-s-dhoni/
97,Singapore,Garuda Robotics,Garuda Robotics Cerana ONE Pro,7500,950,950,450,12,30240,42,1200,3000,,battery,10000,,BLDC,4,mRo Control Zero H7,Carbon fiber reinforced polymer,-10,50,yes,,,camera,façade inspections,https://garuda.io/cerana-one-pro/
98,Singapore,Garuda Robotics,Garuda Robotics Cerana X8,24000,,,,,45000,49,8000,,,battery,10000,,BLDC,8,Cube Orange,Carbon fiber other composites and aluminium,,,,,,camera,parcel delivery to asset inspections,https://garuda.io/cerana-x8/
99,Singapore,Garuda Robotics,Garuda Robotics Garuda V220,13500,,,,26,,180,3000,,,battery,22000,,BLDC,fixed wing VTOL,Cube Orange Ardupilot (Ardu Plane) software stack,carbon fiber,,,,50251.3,,,delivery,https://garuda.io/v220/
100,Spain,General Drones,GeneralDrones AUXDron Lifeguard,9500,,,,28,7000,35,,,,,,,,4,,,,,,,,2 Inflatable life vests with a CO2 bottle system,Lifeguard ,https://www.generaldrones.es/servicios/
101,China,GDU Tech,GDU S400E,7000,950,995,424,23,,58,3000,5000,15000,battery,16400,,BLDC,4,,,-20,55,yes,,,camera,,https://www.gdutech.com/DownloadCenter.html
102,South Korea,Gryphon Dynamics,Gryphon Dynamics GD-200X,188000,1695,1695,1150,17,,36,50000,,,battery,,,BLDC,X8,,,,,,,SFOC,,cargo,http://gryphondynamics.co.kr/gd-200x/
103,South Korea,Gryphon Dynamics,Gryphon Dynamics GD-120X,119000,1400,1400,1200,17,,40,30000,,,battery,,,BLDC,X8,,,,,yes,,SFOC,,delivery,http://gryphondynamics.co.kr/rtf-gd-50xu/
104,South Korea,Gryphon Dynamics,Gryphon Dynamics Inspection,,700,700,410,12,,30,,,,battery,16000,,BLDC,X8,,,,,,,,,inspection,http://gryphondynamics.co.kr/inspection/
105,South Korea,Gryphon Dynamics,Gryphon Dynamics GD-23XU,22000,1562,1562,436,17,,30,8000,,,battery,,,BLDC,X8,,carbon fiber aluminium,,,,,,,,http://gryphondynamics.co.kr/rtf-gd-23xu/
106,South Korea,Gryphon Dynamics,Gryphon Dynamics GD-24XM,21500,1267,11267,436,17,,28,8000,,,battery,22000,,BLDC,X8,,carbon aluminium AL60,,,,,,,,http://gryphondynamics.co.kr/rtf-gd-24xm/
107,South Korea,Gryphon Dynamics,Gryphon Dynamics GD-22XM,17500,1227,1227,436,17,,32,5000,,,battery,22000,,BLDC,X8,,carbon aluminium AL61,,,,,,,,http://gryphondynamics.co.kr/rtf-gd-22xm/
108,United States,Harris Aerial,Harris Aerial H6,25000,2363,2363,620,15,,48,8000,3600,20000,battery,16000,,BLDC,6,Cube Orange,,-20,49,yes,,,camera,carrier,https://harrisaerial.com/wp-content/uploads/2023/08/H6-Electric-DataSheet.pdf
109,United States,Harris Aerial,Harris Aerial Hx8,25000,2425,2425,663,15,,48,8000,3658,20000,battery,16000,,BLDC,X8,Cube Orange,,-20,49,yes,,,,carrier,https://www.harrisaerial.com/wp-content/uploads/2023/08/Hx8-DataSheet.pdf
110,United States,Harris Aerial,Harris Aerial H6HL,95000,3167,3167,700,28,,45,40000,3658,20000,battery,30000,,BLDC,6,Cube Orange,,-20,49,yes,,SFOC,,heavy lift,https://harrisaerial.com/wp-content/uploads/2023/08/H6-HL-DataSheet.pdf
111,Switzerland,Leica Geosystems,Leica BLK2FLY,2600,530,600,190,5,,10,0,1800,45000,battery,6750,,BLDC,4,,,,,yes,62155,none,lidar,lidar scanner,https://shop.leica-geosystems.com/leica-blk/blk2fly/tech-specs
112,Israel,Heven Drones,Heven Drones URBAN,25000,1195,1195,600,20,,37,10000,,,battery,40000,,BLDC,6,,,,,,,,,,https://hevendrones.com/product/urban/
113,Israel,Heven Drones,Heven Drones H2D55,,,,,15,,100,7000,,,hydrogen,,,,fixedwing VTOL,,,,,,,,,,https://hevendrones.com/product/h2d-55/
114,Israel,Heven Drones,Heven Drones H100,30000,1960,1960,840,16,,55,30000,,,,,,,8,,,,,,,,,,https://hevendrones.com/product/h100/
115,Israel,Heven Drones,Heven Drones H2D200,,,,,28,,240,4500,,,,,,,fixedwing VTOL,,,,,,,,,,https://hevendrones.com/product/h2d200/
116,Israel,Heven Drones,Heven Drones H2D250,,,,,28,,480,10000,,,hydrogen,,,,fixedwing VTOL,,,,,,,,,,https://hevendrones.com/product/h2d250/
117,Thailand,HiveGround Robotics,HG Robotics VETAL,4600,1300,700,1000,30,7000,60,800,2000,45000,battery,12000,1,BLDC,fixedwing VTOL,HGMC,,-10,60,,,,camera,mapping,https://www.hiveground.com/vetal/vetal-specification/
118,Thailand,HiveGround Robotics,HG Robotics Vespa Hex,4550,770,663,317,20,,40,1000,1200,3500,battery,16000,,BLDC,6,HGMC,,0,50,,,,camera,mapping,https://www.hiveground.com/vespa-drone/vespa-specification/
119,Thailand,HiveGround Robotics,HG Robotics Tiger Drone TGD2,25000,1785,1690,630,6,,10,13000,25,3500,battery,16000,,BLDC,4,HGMC,,10,45,,,,spraying,agriculture,https://www.hiveground.com/tiger-drone-2/tiger-specification/
120,China,iDFTECH,IDEAFLY Poseidon-480 Pro II,7000,560,460,180,18,1000,30,3000,,1000,battery,4500,,BLDC,4,,,-40,85,,2302.68,,thrower,fishing,https://www.idea-fly.com/ideafly-poseidon-480-fishing-drone/#4
121,China,iDFTECH,IDEAFLY Thor-850,16000,600,580,400,18,2000,26,6000,,2000,battery,4300,,BLDC,4,,,-40,85,,,,thrower,fishing,https://www.idea-fly.com/ideafly-thor-850-fishing-drone.html
122,France,INNOVADRONE,Innovadrone Surveyor,8000,200,650,450,,,68,3500,,,battery,16000,,BLDC,4,,,,,,17745,,,,https://innovadrone.com/en/multipurpose-drone-surveyor/
123,France,INNOVADRONE,Innovadrone Heavy,25000,1700,1700,760,,,64,10000,,,battery,22000,,BLDC,4,,,,,,29654,,,,https://innovadrone.com/en/heavy-payload-drone/
124,France,INNOVADRONE,Innovadrone Hybrid UAV,25000,1700,1700,760,,,250,10000,,,hybrid,,,BLDC,4,,,,,,41520,,,,https://innovadrone.com/en/hybrid-drone/
125,France,INNOVADRONE,Innovadrone G410,25000,2150,2150,720,,,25,10000,,,battery,,,BLDC,4,,,,,,17745,,,agriculture,https://innovadrone.com/en/agricultural-drone/
126,Italy,Italdron,Italdron EVO4HSE RTK,9000,630,630,430,10,,,2500,150,1500,battery,,,BLDC,4,,,-5,40,,,,,survey,https://www.italdron.com/droni-professionali-e-accessori/droni-professionali/4hse-evo
127,Italy,Italdron,Italdron BIGONE8HSE,23000,1280,1280,600,10,,,10000,150,1500,battery,,,BLDC,8,,,-5,40,,,,,survey,https://www.italdron.com/droni-professionali-e-accessori/droni-professionali/bigone-8hse
128,Italy,Italdron,Italdron Titan LE,5500,570,570,330,10,,,1000,150,1500,battery,,,BLDC,4,,,-5,40,,,,,movie,https://www.italdron.com/drone-professionale-titan-le
129,Italy,Italdron,Italdron Titan XLE,6000,880,880,330,5,,60,1000,150,1500,battery,,,BLDC,4,,,-5,40,,,,,imaging,https://www.italdron.com/droni-professionali-e-accessori/droni-professionali/titan-xle
130,Italy,Italdron,Italdron Levante,6000,720,720,380,8,,80,1000,150,1500,battery,,,BLDC,4,,,-5,40,,,,,imaging,https://www.italdron.com/levante
131,China,JTT UAV,JTT Spider C85,7200,852,852,,18,7000,40,2000,3000,7000,battery,14000,,BLDC,4,,,,,,,,camera,rescue,https://www.jttrescue.com/industrial-smart-emergency-rescue-drone-spider-c85_p2.html
132,China,JTT UAV,JTT Rescue Drone T60,15200,1200,1200,,18,,58,4500,5000,20000,battery,44000,,BLDC,6,,,,,,,,camera,rescue,https://www.jttrescue.com/industrial-smart-emerency-rescue-drone-t60_p12.html
133,United States,Leptron,Leptron RDASS™ HD2,3539,801,801,,,,,,3650,,,,,BLDC,4,,,-10,50,,,,camera,remote sensing,https://www.leptron.com/leptron_rdass-hd2.html
134,United States,Leptron,Leptron RDASS™ Precision,3539,801,801,,,,,,3650,,,,,BLDC,4,,,-10,50,,,,camera,surveillance,https://www.leptron.com/leptron_rdass_precision.html
135,United States,Leptron,Leptron GeoSwift Mapper UAS,2722,,,,20,,60,,14000,,,,,,fixed wing,,Carbon armored fiber,-20,38,,,,,,https://www.leptron.com/geoswift_mapper.html
136,United States,Leptron,Leptron Remo-M Fixed-Wing,3500,,1300,,22,,90,,,,,,,,fixed wing,,Carbon armored fiber,,,,,,,,https://www.leptron.com/remo-m_fixed-wing_uas.html
137,United States,Leptron,Leptron Leptron Avenger™ Unmanned Helicopter,,1473,1842,1905,,,,4536,,,,,,,,,,,,,,,,surveillance,https://www.leptron.com/leptron_avenger_uas_helicopter.html
138,Italy,MAVTech,MAVTech Q4X,9600,715,715,120,,,32,,,,battery,16000,,BLDC,4,pixhawk,,-10,40,,,,camera,,https://www.mavtech.eu/en/products/q4x-drone/
139,Italy,MAVTech,MAVTech Q4T,5000,620,620,110,,,24,,,,battery,10000,,BLDC,4,pixhawk,,-10,40,,,,camera,mapping,https://www.mavtech.eu/en/products/q4t-drone/
140,Italy,MAVTech,MAVTech Q4E,3400,590,590,110,,,20,,,,battery,10000,,BLDC,4,pixhawk,,-10,40,,,,camera,mapping,https://www.mavtech.eu/en/products/q4e-drone/
141,Italy,MAVTech,MAVTech MH100,1355,,1030,,,,30,200,,,battery,,,,fixed wing,,Nylon PA12,-10,40,,,,camera,mapping,https://www.mavtech.eu/en/products/mh1000/
142,Italy,MAVTech,MAVTech AGRI 1900,2600,,1900,,15,,45,400,150,7500,,,,,fixed wing,,,,,,,,,agriculture,https://www.mavtech.eu/en/products/agri-1900/
143,Germany,Microdrones,Microdrones EasyOne,5700,955,955,454,,,40,1400,,,battery,,,,4,,,,,,,,camera,mapping,https://www.microdrones.com/en/integrated-systems/easyone/easyoneuhr-plus/
144,Netherlands,Mine Kafon,Mine Kafon MK Destiny,,630,540,230,21,,40,6000,,3000,battery,,,BLDC,X8,,,-40,60,,,,camera,surveillance,https://minekafon.org/index.php/destiny/
145,Netherlands,Mine Kafon,Mine Kafon MK Manta,30000,1250,1250,,21,,50,30000,,,battery,,,BLDC,X8,,,-40,60,,,,camera,demining,https://minekafon.org/index.php/manta/
146,China,MMC UAV,MMC Griflion M9,15000,1520,3378,515,35,,150,3000,4500,,battery,25000,,,fixed wing,,,-20,60,,,,camera,mapping,https://www.mmcuav.com/products/griflion-m9/
147,China,MMC UAV,MMC Griflion M8,7000,1177,2400,364,35,190000,170,1000,4500,15000,battery,25000,,,fixed wing,,,-20,60,,,,camera,mapping,https://www.mmcuav.com/products/griflion-m8/
148,China,MMC UAV,MMC Skylle II M600 Pro,28000,1650,1650,,12,,80,10000,,20000,battery,22000,,BLDC,6,,,-20,65,,,,camera,mapping,https://www.mmcuav.com/products/skylle-%e2%85%b1-m600-pro/
149,China,MMC UAV,MMC Skylle P,36500,1750,1750,580,15,,75,15000,5000,20000,battery,25000,,BLDC,6,,,-20,60,,,,camera,mapping,https://www.mmcuav.com/products/skylle-p/
150,China,MMC UAV,MMC Notuzi II M30 Pro,12000,900,900,,,,60,3000,,,battery,22000,,BLDC,4,,carbon fiber aluminum alloy engineering plastics,,,,,,camera,mapping,https://www.mmcuav.com/products/notuzi-%e2%85%b1-m30-pro/
151,China,MMC UAV,MMC Jadger 2,,275,275,150,,,45,,,5000,battery,4625,,BLDC,4,,,,,,,,camera,inspection,https://www.mmcuav.com/products/jadger-2/
152,France,Parrot,Parrot ANAFIAi,898,320,440,118,17,4000,32,0,5000,22500,battery,6800,,BLDC,4,autonomous,plastic,-10,40,Yes,,Drone License,camera barometer,mapping surveillance,
153,China,PowerVision,PowerVision PowerEgg X,544,177,101,101,18,,,0,4000,5954,battery,3800,,BLDC,4,,,-10,40,,,,camera,video,https://www.powervision.me/en/product/powereggx/specs/
154,China,PowerVision,PowerVision PowerEye,3950,513,513,310,18,,29.5,0,4000,45000,battery,,,BLDC,4,,,-10,40,,,,camera,video,https://www.powervision.me/en/product/powereye/specs/
155,Italy,Pro S3,Pro S3 Icon V2,13000,1260,2500,430,27,,,,,,battery,25000,,BLDC,5 fixed wing VTOL,,carbon herex,-20,45,,,,,,https://www.pros3.eu/convertiplani/
156,Italy,Pro S4,Pro S3 WaveSight,9500,,,,20.5,,150,,3500,,battery,,,,,,,-20,50,,,,,,https://www.pros3.eu/ala-fissa/
157,Italy,Pro S5,Pro S3 Venture LE,,,,,12.5,,48,,,10000,battery,,,,,,,,,,,,,,https://www.pros3.eu/multirotore/
158,Japan,PRORONE,Prodrone PD4-XA1,,1260,1490,276,17,,30,2.2,,,battery,,,BLDC,4,,,,,,,,camera,mapping,https://www.prodrone.com/products/pd4-xa1/
159,Japan,PRORONE,Prodrone PDH-GS120,35000,1847,439,739,20,,150,15000,,5000,gasoline,,,,helicopter,,,,,,,,box,delivery,https://www.prodrone.com/products/pdh-gs120/
160,Japan,PRORONE,Prodrone PDH-02C,5700,1452,372,387,,,,0,,,battery,5800,,,helicopter,,,,,,,,,competition,https://www.prodrone.com/products/pdh-02c/
161,Japan,PRORONE,Prodrone PD4-AW-AQ,,1062,1062,394,22,,20,4000,,,battery,5500,,BLDC,4,,,,,,,,,water resistant,https://www.prodrone.com/products/pd4-aw-aq/
162,United States,Skydio,Skydio X2,3200,380,380,220,15,10000,40,450,120,5000,battery,480000,50,BLDC,4,Autopilot,Carbon Fiber Aluminum,-20,40,Yes,20000,"FCC, CE",camera,Inspection Mapping Surveillance,
163,United States,Skydio,Skydio 2,900,290,290,90,15,3000,35,230,100,3000,battery,340000,50,BLDC,4,Autopilot,Carbon Fiber Aluminum,-20,40,Yes,1000,"FCC, CE",camera,Recreation Photography Videography,
164,United States,Skydio,Skydio X2E,3200,380,380,220,15,10000,40,450,120,5000,battery,480000,50,BLDC,4,Autopilot,Carbon Fiber Aluminum,-20,40,Yes,25000,"FCC, CE",camera,Industrial Inspection Surveillance,
165,United States,Skydio,Skydio 2+,900,290,290,90,15,3000,35,230,100,3000,battery,340000,50,BLDC,4,Autopilot,Carbon Fiber Aluminum,-20,40,Yes,1200,"FCC, CE",camera,Recreation Photography Videography,
166,United States,Skydio,Skydio X2D,3200,380,380,220,15,10000,40,450,120,5000,battery,480000,50,BLDC,4,Autopilot,Carbon Fiber Aluminum,-20,40,Yes,22000,"FCC, CE",camera,Industrial Inspection Surveillance,
167,United States,Skydio,Skydio 2A,900,290,290,90,15,3000,35,230,100,3000,battery,340000,50,BLDC,4,Autopilot,Carbon Fiber Aluminum,-20,40,Yes,1400,"FCC, CE",camera,Industrial Inspection Surveillance,https://www.skydio.com/x10/technical-specs
168,United States,Skydio,Skydio X10,2490,790,650,145,20,,40,230,4572,12000,battery,8419,100,BLDC,4,NVIDIA Jetson Orin SoCQualcomm QRB5165 SoC,Carbon Fiber Aluminum,-20,40,Yes,,Drone License,camera thermal,Inspection Mapping Surveillance,https://www.skydio.com/x10/technical-specs
169,China,JOUAV,JOUAV CW-15,12500,2060,3540,580,17,15000,180,3000,6500,,battery,,1,BLDC,5,autonomous,carbon fiber,-10,50,Yes,,Drone License,,mapping surveillance public safety oil and gas pipeline inspection,https://www.jouav.com/products/cw-15.html
170,China,JOUAV,JOUAV CW-25E,,1080,4350,,20,,120,6000,6000,,battery,,1,BLDC,5,autonomous,carbon fiber,,,Yes,,Drone License,camera lidar,mapping surveillance public safety oil and gas pipeline inspection,
171,China,JOUAV,JOUAV CW-25H,31000,2100,4400,,22,,330,4000,6000,,hydrogen-electric,,,hydrogen-electric,5,autonomous,carbon fiber,,,Yes,,SFOC,camera,mapping surveillance,
172,China,JOUAV,JOUAV CW-80E,100000,3100,5000,,28,,480,20000,5000,,hybrid,,1,hybrid-electric,5,autonomous,carbon fiber,,,Yes,,SFOC,camera logistics box,delivery,https://www.jouav.com/products/cw-100.html
173,China,JOUAV,JOUAV PH-20,29200,1690,1690,,18,,70,10000,,,battery,,15,BLDC,6,autonomous,carbon fiber,-20,55,Yes,,SFOC,camera logistics,mapping,
174,China,JOUAV,JOUAV CW-25,29500,2100,4000,690,28,,330,6000,7000,100000,fuel,,1,"hybrid gasoline, battery",5,autonomous,carbon fiber,,,Yes,,SFOC,camera,mapping,
175,China,JOUAV,JOUAV CW-007,6800,1300,2200,400,17,,55,1000,6000,,battery,,1,BLDC,5,autonomous,carbon fiber,,,Yes,,Drone License,camera,mapping,
176,China,JOUAV,JOUAV CW-30E,38000,2400,4400,,25,,480,8000,6000,,Hybrid gas-electric,,1,,5,autonomous,carbon fiber,,,Yes,,SFOC,camera logisics,mapping delivery,
177,China,XAG,XAG M2000,3500,918,1700,301,22,86000,90,0,400,5000,battery,7077,1,,5,SuperX 4 Pro,,-10,40,no,,Drone License,camera,,
178,Switzerland,Wingtra,WingtraOne Gen II,4500,650,1250,120,16,50000,59,800,5000,10000,battery,99 Wh,1,BLDC,5,autonomous,composite materials,-10,40,no,19000,Drone License,camera multispectral,mapping,https://wingtra.com/mapping-drone-wingtraone/technical-specifications/
179,Switzerland,AgEagle,AgEagle eBee Geo,1300,,1160,,30,30000,45,0,,8000,,,2.5,,0,eMotion,,,,,,Drone License,camera,mapping,https://ageagle.com/compare-drones/
